1	16	3	13	2	15	4	10	5	14	6	9	7	12	8	11	Taxonomy IDs	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Fasta headers
472810	478740	564930	486340	618660	487310	613310	636120	449540	734290	744910	509000	633870	654830	431280	613790	-1	31	31	1	18.5	18.5	0.9	195.31	0	323.31	869080000	14	P97868-2	P97868-2	E3 ubiquitin-protein ligase RBBP6	Rbbp6	2286	sp|P97868-2|RBBP6_MOUSE Isoform 2 of E3 ubiquitin-protein ligase RBBP6 OS=Mus musculus OX=10090 GN=Rbbp6
17968	34640	55627	16178	67184	48453	42278	73641	15019	60640	60870	16899	67496	47506	27208	68583	-1	3	3	3	5.8	5.8	5.8	60	0	5.7095	112620000	3	P97872	P97872	Dimethylaniline monooxygenase [N-oxide-forming] 5	Fmo5	2287	sp|P97872|FMO5_MOUSE Flavin-containing monooxygenase 5 OS=Mus musculus OX=10090 GN=Fmo5 PE=1 SV=4
107510	370510	834510	74666	2830500	291990	854940	3973800	40522	1547100	1884200	150010	456560	1416600	336020	1193000	-1	16	16	16	40	40	40	66.506	0	93.537	2531500000	24	P97873	P97873	Lysyl oxidase homolog 1	Loxl1	2288	sp|P97873|LOXL1_MOUSE Lysyl oxidase homolog 1 OS=Mus musculus OX=10090 GN=Loxl1 PE=2 SV=3
4670.7001953125	3342.19995117188	8767.7001953125	3632.10009765625	6689.39990234375	4187.7998046875	6801.2998046875	8222.900390625	2429.30004882813	3931.89990234375	4470.39990234375	4110.2001953125	4813	7282.7001953125	2650.10009765625	9210.7001953125	-1	2	2	2	12.9	12.9	12.9	18.674	0	149.68	16144000	1	P97875	P97875	Jun dimerization protein 2	Jdp2	2289	sp|P97875|JDP2_MOUSE Jun dimerization protein 2 OS=Mus musculus OX=10090 GN=Jdp2 PE=1 SV=2
459410	12770	54266	182990	240370	20033	15940	274120	186380	117980	143830	527830	36698	23512	8667.2998046875	70990	-1	16	16	16	9.7	9.7	9.7	201.82	0	86.094	602070000	18	P97927	P97927	Laminin subunit alpha-4	Lama4	2290	sp|P97927|LAMA4_MOUSE Laminin subunit alpha-4 OS=Mus musculus OX=10090 GN=Lama4 PE=1 SV=2
1012200	674440	1169300	771910	1279000	762010	997180	1247900	803260	1345900	1452900	965630	1322200	840200	711350	1070400	-1	10	10	10	40.6	40.6	40.6	23.914	0	31.071	1883600000	10	P97930;P97930-2	P97930;P97930-2	Thymidylate kinase	Dtymk	2291	sp|P97930|KTHY_MOUSE Thymidylate kinase OS=Mus musculus OX=10090 GN=Dtymk PE=1 SV=2;sp|P97930-2|KTHY_MOUSE Isoform Short of Thymidylate kinase OS=Mus musculus OX=10090 GN=Dtymk
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	1	1	1	3.7	3.7	3.7	33.053	0.0076751	1.2415	4946900	1	P97931-2	P97931-2			2292	sp|P97931-2|UNG_MOUSE Isoform 1 of Uracil-DNA glycosylase OS=Mus musculus OX=10090 GN=Ung
37842	16998	331130	26010	109620	219060	33890	103540	17718	85906	73273	45047	305180	32807	16482	423280	-1	8	8	8	18.4	18.4	18.4	40.908	0	10.592	523270000	7	P97946	P97946	Vascular endothelial growth factor D	Figf	2293	sp|P97946|VEGFD_MOUSE Vascular endothelial growth factor D OS=Mus musculus OX=10090 GN=Vegfd PE=2 SV=1
230320	82988	306060	73410	540780	97737	484390	648010	68377	222410	251210	311970	151040	413330	97508	301740	-1	7	7	6	7.3	7.3	6	111.67	0	13.122	386170000	9	P98063;Q9WVM6	P98063;Q9WVM6	Bone morphogenetic protein 1;Tolloid-like protein 2	Bmp1;Tll2	2294	sp|P98063|BMP1_MOUSE Bone morphogenetic protein 1 OS=Mus musculus OX=10090 GN=Bmp1 PE=1 SV=2;sp|Q9WVM6|TLL2_MOUSE Tolloid-like protein 2 OS=Mus musculus OX=10090 GN=Tll2 PE=1 SV=1
270500	238310	701980	212550	830160	370550	580040	929380	180300	623200	700510	256210	666830	577740	217180	785030	-1	23	23	23	39.4	39.4	39.4	82.311	0	323.31	1813600000	26	P98078;P98078-2;P98078-3	P98078;P98078-2;P98078-3	Disabled homolog 2	Dab2	2295	sp|P98078|DAB2_MOUSE Disabled homolog 2 OS=Mus musculus OX=10090 GN=Dab2 PE=1 SV=2;sp|P98078-2|DAB2_MOUSE Isoform p93 of Disabled homolog 2 OS=Mus musculus OX=10090 GN=Dab2;sp|P98078-3|DAB2_MOUSE Isoform p67 of Disabled homolog 2 OS=Mus musculus OX=10090 G
583650	253200	712350	452010	551660	531690	334000	539300	452050	489670	551430	606250	828800	286210	283610	660340	-1	11	11	11	24	24	24	62.607	0	158.6	972850000	15	P98083;P98083-2;P98083-3;Q8BMC3	P98083;P98083-2	SHC-transforming protein 1	Shc1	2296	sp|P98083|SHC1_MOUSE SHC-transforming protein 1 OS=Mus musculus OX=10090 GN=Shc1 PE=1 SV=3;sp|P98083-2|SHC1_MOUSE Isoform p52Shc of SHC-transforming protein 1 OS=Mus musculus OX=10090 GN=Shc1
99427	30558	189640	85497	374360	124950	52002	417660	74134	249280	286700	151670	194970	42806	34910	218150	-1	4	4	4	5.2	5.2	5.2	96.372	0	6.7613	124560000	4	P98156	P98156	Very low-density lipoprotein receptor	Vldlr	2297	sp|P98156|VLDLR_MOUSE Very low-density lipoprotein receptor OS=Mus musculus OX=10090 GN=Vldlr PE=1 SV=1
344600	331780	533250	240550	579310	362710	712130	560670	252670	602850	643760	370410	579400	596960	368380	526060	-1	13	13	13	23	23	23	76.869	0	36.018	1687300000	21	P98192	P98192	Dihydroxyacetone phosphate acyltransferase	Gnpat	2298	sp|P98192|GNPAT_MOUSE Dihydroxyacetone phosphate acyltransferase OS=Mus musculus OX=10090 GN=Gnpat PE=1 SV=1
356550	153890	372280	190790	374210	189900	395210	411770	205540	291530	316330	409970	302620	366550	174490	355370	-1	20	20	20	17.9	17.9	17.9	129.02	0	55.664	871770000	20	P98195;P98195-2;O70228	P98195;P98195-2	Probable phospholipid-transporting ATPase IIB	Atp9b	2299	sp|P98195|ATP9B_MOUSE Probable phospholipid-transporting ATPase IIB OS=Mus musculus OX=10090 GN=Atp9b PE=1 SV=4;sp|P98195-2|ATP9B_MOUSE Isoform 2 of Probable phospholipid-transporting ATPase IIB OS=Mus musculus OX=10090 GN=Atp9b
331810	424780	414300	249200	522670	345590	706680	548310	282620	527970	572640	316600	502380	651540	434560	455270	-1	14	14	13	11.9	11.9	11.1	135.5	0	26.095	1130300000	13	P98197	P98197	Probable phospholipid-transporting ATPase IH	Atp11a	2300	sp|P98197|AT11A_MOUSE Probable phospholipid-transporting ATPase IH OS=Mus musculus OX=10090 GN=Atp11a PE=1 SV=1
32241	27369	50726	35471	28868	49588	32393	31833	33113	41360	43853	32949	73590	31479	26748	50484	-1	8	8	8	7.3	7.3	7.3	136.97	0	161.86	82324000	2	P98199	P98199	Phospholipid-transporting ATPase ID	Atp8b2	2301	sp|P98199|AT8B2_MOUSE Phospholipid-transporting ATPase ID OS=Mus musculus OX=10090 GN=Atp8b2 PE=2 SV=2
69332	292130	268790	135720	382410	213100	368220	446820	104110	435150	439240	75494	306700	398980	269450	304980	-1	25	25	25	32.2	32.2	32.2	104.21	0	323.31	821320000	11	P98203-2;P98203;P98203-4;P98203-5	P98203-2;P98203;P98203-4;P98203-5	Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog	Arvcf	2302	sp|P98203-2|ARVC_MOUSE Isoform 2 of Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog OS=Mus musculus OX=10090 GN=Arvcf;sp|P98203|ARVC_MOUSE Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog OS=Mus musculus OX=10
22793000	9419500	16711000	17954000	16074000	11355000	11226000	15304000	18281000	21534000	23190000	23777000	18579000	9986900	11192000	14621000	-1	32	7	6	73.2	20.5	17.1	49.67	0	323.31	136620000000	42	P99024	P99024	Tubulin beta-5 chain	Tubb5	2303	sp|P99024|TBB5_MOUSE Tubulin beta-5 chain OS=Mus musculus OX=10090 GN=Tubb5 PE=1 SV=1
4300700	2152700	3815500	3137600	4272100	2673600	3242400	3975900	3016600	3944200	4415400	4060400	4236500	2967700	2135800	3488700	-1	7	7	7	41.3	41.3	41.3	29.116	0	47.364	15137000000	26	P99026	P99026	Proteasome subunit beta type-4	Psmb4	2304	sp|P99026|PSB4_MOUSE Proteasome subunit beta type-4 OS=Mus musculus OX=10090 GN=Psmb4 PE=1 SV=1
10655000	3556500	10525000	5183300	13412000	4541800	10378000	11131000	5107100	6989100	7250100	8506100	9110600	7883900	3595500	9763600	-1	12	12	12	98.3	98.3	98.3	11.651	0	323.31	30741000000	24	P99027	P99027	60S acidic ribosomal protein P2	Rplp2	2305	sp|P99027|RLA2_MOUSE 60S acidic ribosomal protein P2 OS=Mus musculus OX=10090 GN=Rplp2 PE=1 SV=3
1360600	1216800	1265000	1158600	2042500	846900	1462000	2134600	983220	2516100	2533300	1416300	1489000	1299500	1013400	1275200	-1	4	4	4	34.8	34.8	34.8	10.435	0	270.5	6062700000	7	P99028	P99028	Cytochrome b-c1 complex subunit 6, mitochondrial	Uqcrh	2306	sp|P99028|QCR6_MOUSE Cytochrome b-c1 complex subunit 6, mitochondrial OS=Mus musculus OX=10090 GN=Uqcrh PE=1 SV=2
6800000	4220100	8199900	6828100	4910200	7503400	5277300	5250200	5986500	5701700	5438100	7752900	12355000	4892500	4319300	8211000	-1	9	9	9	53.1	53.1	53.1	17.015	0	36.153	32146000000	20	P99029-2;P99029	P99029-2;P99029	Peroxiredoxin-5, mitochondrial	Prdx5	2307	sp|P99029-2|PRDX5_MOUSE Isoform Cytoplasmic+peroxisomal of Peroxiredoxin-5, mitochondrial OS=Mus musculus OX=10090 GN=Prdx5;sp|P99029|PRDX5_MOUSE Peroxiredoxin-5, mitochondrial OS=Mus musculus OX=10090 GN=Prdx5 PE=1 SV=2
7273.2998046875	7734.60009765625	9309.900390625	7560.7001953125	10239	11134	5242.2001953125	8274.5	7335.7998046875	9056.7998046875	8340.599609375	10019	16121	6780.7001953125	2777.19995117188	13202	-1	1	1	1	1.6	1.6	1.6	81.745	0.0097464	1.1537	11627000	1	Q00175-2;Q00175	Q00175-2;Q00175	Progesterone receptor	Pgr	2308	sp|Q00175-2|PRGR_MOUSE Isoform A of Progesterone receptor OS=Mus musculus OX=10090 GN=Pgr;sp|Q00175|PRGR_MOUSE Progesterone receptor OS=Mus musculus OX=10090 GN=Pgr PE=1 SV=2
102450	124550	142910	122740	172960	139200	141900	135490	124530	191300	207390	106550	234580	143310	125920	140750	-1	3	3	3	12.8	12.8	12.8	33.177	0	91.515	742560000	5	Q00262	Q00262	Syntaxin-2	Stx2	2309	sp|Q00262|STX2_MOUSE Syntaxin-2 OS=Mus musculus OX=10090 GN=Stx2 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	1	1	1	4.1	4.1	4.1	28.631	0.00012511	2.3851	0	0	Q00322	Q00322	CCAAT/enhancer-binding protein delta	Cebpd	2310	sp|Q00322|CEBPD_MOUSE CCAAT/enhancer-binding protein delta OS=Mus musculus OX=10090 GN=Cebpd PE=1 SV=2
36659	25001	28890	32336	23701	23829	36882	29821	38035	40697	45722	38381	42946	26358	23389	30048	-1	5	5	3	8.4	8.4	6.3	41.258	0	8.2268	247870000	5	Q00420-3;Q00420;Q00420-2;Q00420-4	Q00420-3;Q00420;Q00420-2	GA-binding protein subunit beta-1	Gabpb1	2311	sp|Q00420-3|GABP1_MOUSE Isoform 3 of GA-binding protein subunit beta-1 OS=Mus musculus OX=10090 GN=Gabpb1;sp|Q00420|GABP1_MOUSE GA-binding protein subunit beta-1 OS=Mus musculus OX=10090 GN=Gabpb1 PE=1 SV=2;sp|Q00420-2|GABP1_MOUSE Isoform 2 of GA-binding p
48877	34078	51339	49966	49443	40900	50565	56164	48679	82985	96208	54336	71166	43446	37425	53158	-1	4	4	4	8.4	8.4	8.4	51.344	0	3.7976	131290000	2	Q00422	Q00422	GA-binding protein alpha chain	Gabpa	2312	sp|Q00422|GABPA_MOUSE GA-binding protein alpha chain OS=Mus musculus OX=10090 GN=Gabpa PE=1 SV=2
3190600	517150	1970200	1233300	3672200	742380	3317700	3768200	1061700	682560	621290	3740100	979900	3226600	442410	2121500	-1	17	17	17	38.2	38.2	38.2	53.255	0	61.159	4774900000	25	Q00493	Q00493	Carboxypeptidase E	Cpe	2313	sp|Q00493|CBPE_MOUSE Carboxypeptidase E OS=Mus musculus OX=10090 GN=Cpe PE=1 SV=2
372890	285720	2143900	495420	1162700	2137500	257810	1132700	490340	1303900	1452100	426490	3407700	350550	273920	2277700	-1	22	22	21	20.7	20.7	19.9	146.56	0	107.84	3748900000	31	Q00519	Q00519	Xanthine dehydrogenase/oxidase;Xanthine dehydrogenase;Xanthine oxidase	Xdh	2314	sp|Q00519|XDH_MOUSE Xanthine dehydrogenase/oxidase OS=Mus musculus OX=10090 GN=Xdh PE=1 SV=5
49020	12822	23927	4579.60009765625	22070	3032.80004882813	36247	17859	6205.89990234375	16914	21006	18264	3750.60009765625	27692	12226	14050	-1	3	3	3	10.8	10.8	10.8	88.805	0	17.449	44539000	3	Q00547-2;Q00547	Q00547-2;Q00547	Hyaluronan mediated motility receptor	Hmmr	2315	sp|Q00547-2|HMMR_MOUSE Isoform RHAMM1 of Hyaluronan mediated motility receptor OS=Mus musculus OX=10090 GN=Hmmr;sp|Q00547|HMMR_MOUSE Hyaluronan mediated motility receptor OS=Mus musculus OX=10090 GN=Hmmr PE=1 SV=4
106000	64138	127930	56290	102870	62102	122850	106770	59003	80298	89840	107580	99381	107340	58614	109630	-1	3	3	3	13.2	13.2	13.2	40.489	0	61.117	148800000	3	Q00558	Q00558	Factor VIII intron 22 protein	F8a1	2316	sp|Q00558|HAP40_MOUSE 40-kDa huntingtin-associated protein OS=Mus musculus OX=10090 GN=F8a1 PE=1 SV=1
468980	384150	1675000	595850	630450	1799300	708140	631410	475570	764370	638350	530980	2587600	613260	376030	1871500	-1	14	14	14	24.1	24.1	24.1	102.45	0	323.31	1639700000	17	Q00560	Q00560	Interleukin-6 receptor subunit beta	Il6st	2317	sp|Q00560|IL6RB_MOUSE Interleukin-6 receptor subunit beta OS=Mus musculus OX=10090 GN=Il6st PE=1 SV=2
71649	27805	76623	90255	13517	71849	32903	14372	80209	24028	19693	82337	101370	28107	28691	70721	-1	5	5	5	19.3	19.3	19.3	34.589	0	141.39	272220000	3	Q00609;Q00609-2	Q00609;Q00609-2	T-lymphocyte activation antigen CD80	Cd80	2318	sp|Q00609|CD80_MOUSE T-lymphocyte activation antigen CD80 OS=Mus musculus OX=10090 GN=Cd80 PE=1 SV=1;sp|Q00609-2|CD80_MOUSE Isoform 2 of T-lymphocyte activation antigen CD80 OS=Mus musculus OX=10090 GN=Cd80
22664000	2897700	6728800	12924000	6194800	4506000	3681900	5268900	14500000	4737700	5280300	20748000	7733800	3073900	2878800	6173100	-1	32	32	32	52.6	52.6	52.6	59.262	0	323.31	26528000000	55	Q00612;P97324;REV__P46662	Q00612	Glucose-6-phosphate 1-dehydrogenase X	G6pdx	2319	sp|Q00612|G6PD1_MOUSE Glucose-6-phosphate 1-dehydrogenase X OS=Mus musculus OX=10090 GN=G6pdx PE=1 SV=3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	2	2	2	1.7	1.7	1.7	115.69	0	203.17	0	0	Q00651	Q00651	Integrin alpha-4	Itga4	2320	sp|Q00651|ITA4_MOUSE Integrin alpha-4 OS=Mus musculus OX=10090 GN=Itga4 PE=1 SV=1
12751	20992	4365.39990234375	11765	9888.7998046875	4863.10009765625	35675	13590	9221.900390625	13084	11071	15538	7178.2998046875	40782	16760	4694.7998046875	-1	2	2	2	6.8	6.8	6.8	40.287	0	5.839	40430000	2	Q00731-6;Q00731-2;Q00731	Q00731-6;Q00731-2;Q00731	Vascular endothelial growth factor A	Vegfa	2321	sp|Q00731-6|VEGFA_MOUSE Isoform L-VEGF-1 of Vascular endothelial growth factor A OS=Mus musculus OX=10090 GN=Vegfa;sp|Q00731-2|VEGFA_MOUSE Isoform VEGF-1 of Vascular endothelial growth factor A OS=Mus musculus OX=10090 GN=Vegfa;sp|Q00731|VEGFA_MOUSE Vascul
269580	726780	295400	560870	165830	479520	622100	144640	460570	481730	448920	275820	695660	607060	587590	263640	-1	6	6	6	8.2	8.2	8.2	73.606	0	5.9164	3066100000	10	Q00780	Q00780	Collagen alpha-1(VIII) chain;Vastatin	Col8a1	2322	sp|Q00780|CO8A1_MOUSE Collagen alpha-1(VIII) chain OS=Mus musculus OX=10090 GN=Col8a1 PE=1 SV=3
142930	112260	139300	170510	106150	141420	129650	117630	140650	127380	117850	176180	159390	151480	83265	179270	-1	6	6	6	19.3	19.3	19.3	44.716	0	30.108	299380000	5	Q00899;Q3TTC2	Q00899	Transcriptional repressor protein YY1	Yy1	2323	sp|Q00899|TYY1_MOUSE Transcriptional repressor protein YY1 OS=Mus musculus OX=10090 GN=Yy1 PE=1 SV=1
7172900	300360	2044800	5499400	746350	1756000	448010	815080	5189400	494720	482290	9026600	2775900	506880	351120	2026100	-1	8	8	8	70.4	70.4	70.4	15.846	0	76.695	6933300000	18	Q00915	Q00915	Retinol-binding protein 1	Rbp1	2324	sp|Q00915|RET1_MOUSE Retinol-binding protein 1 OS=Mus musculus OX=10090 GN=Rbp1 PE=1 SV=2
458240	547940	424620	390180	166440	330180	949830	170750	400270	210070	167160	410900	521820	671050	515910	366340	-1	20	20	19	28.5	28.5	27.4	98.19	0	223.94	1573700000	16	Q00993	Q00993	Tyrosine-protein kinase receptor UFO	Axl	2325	sp|Q00993|UFO_MOUSE Tyrosine-protein kinase receptor UFO OS=Mus musculus OX=10090 GN=Axl PE=1 SV=2
1864700	3079300	3515400	2181900	3672400	3032500	3790200	3932700	2104500	4724100	5001300	2089500	4771200	3549500	2972100	3823400	-1	39	39	39	48.1	48.1	48.1	84.939	0	323.31	25585000000	71	Q00PI9	Q00PI9	Heterogeneous nuclear ribonucleoprotein U-like protein 2	Hnrnpul2	2326	sp|Q00PI9|HNRL2_MOUSE Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Mus musculus OX=10090 GN=Hnrnpul2 PE=1 SV=2
80903	70566	110450	63804	137920	66456	124730	141380	57016	144790	167580	81564	103260	89908	76075	93822	-1	5	5	5	5.6	5.6	5.6	84.562	0	24.469	125460000	3	Q01063;Q01063-2;Q01063-3	Q01063;Q01063-2	cAMP-specific 3,5-cyclic phosphodiesterase 4D	Pde4d	2327	sp|Q01063|PDE4D_MOUSE cAMP-specific 3,5-cyclic phosphodiesterase 4D OS=Mus musculus OX=10090 GN=Pde4d PE=1 SV=2;sp|Q01063-2|PDE4D_MOUSE Isoform 9 of cAMP-specific 3,5-cyclic phosphodiesterase 4D OS=Mus musculus OX=10090 GN=Pde4d
295240	244020	220850	306590	460260	301590	214300	387530	331550	411490	382680	220060	297290	248950	133180	304820	-1	7	7	5	29.3	29.3	24.6	36.674	0	187.97	625720000	4	Q01147-1;Q01147	Q01147-1;Q01147	Cyclic AMP-responsive element-binding protein 1	Creb1	2328	sp|Q01147-1|CREB1_MOUSE Isoform 2 of Cyclic AMP-responsive element-binding protein 1 OS=Mus musculus OX=10090 GN=Creb1;sp|Q01147|CREB1_MOUSE Cyclic AMP-responsive element-binding protein 1 OS=Mus musculus OX=10090 GN=Creb1 PE=1 SV=2
806640	94898	4624900	83449	9178700	557560	3835800	8729000	33049	358010	419090	597810	903700	3247700	63136	4962700	-1	74	74	74	73.8	73.8	73.8	129.56	0	323.31	59311000000	139	Q01149	Q01149	Collagen alpha-2(I) chain	Col1a2	2329	sp|Q01149|CO1A2_MOUSE Collagen alpha-2(I) chain OS=Mus musculus OX=10090 GN=Col1a2 PE=1 SV=2
61852	8790.2998046875	47556	7952.7001953125	128660	7960.2998046875	74899	149070	6436	13959	15950	65779	9158.7998046875	94272	7111	64581	-1	6	6	6	9.2	9.2	9.2	97.039	0	122.41	226610000	5	Q01237	Q01237	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Hmgcr	2331	sp|Q01237|HMDH_MOUSE 3-hydroxy-3-methylglutaryl-coenzyme A reductase OS=Mus musculus OX=10090 GN=Hmgcr PE=1 SV=3
685340	737520	1305600	614670	1110700	1149400	821500	1189300	609160	1423300	1367900	826330	1686200	792690	638320	1548900	-1	46	46	44	48	48	46.1	134.85	0	323.31	12766000000	50	Q01279	Q01279	Epidermal growth factor receptor	Egfr	2332	sp|Q01279|EGFR_MOUSE Epidermal growth factor receptor OS=Mus musculus OX=10090 GN=Egfr PE=1 SV=1
1779900	865620	938570	226400	1445700	162640	2661000	1673300	180120	1373500	1686000	983590	247820	2198400	1059500	831160	-1	40	26	26	27.9	20	20	172.79	0	299.02	3230900000	21	Q01320	Q01320	DNA topoisomerase 2-alpha	Top2a	2333	sp|Q01320|TOP2A_MOUSE DNA topoisomerase 2-alpha OS=Mus musculus OX=10090 GN=Top2a PE=1 SV=2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	3	3	3	7.1	7.1	7.1	50.555	0	11.943	0	0	Q01338	Q01338	Alpha-2A adrenergic receptor	Adra2a	2334	sp|Q01338|ADA2A_MOUSE Alpha-2A adrenergic receptor OS=Mus musculus OX=10090 GN=Adra2a PE=1 SV=2
559620	416540	581590	689250	485940	463820	525150	528420	576300	674790	665090	687970	757710	497070	382250	600870	-1	18	18	18	16.5	16.5	16.5	130.32	0	126.24	1078400000	13	Q01341;P84309;P84309-2	Q01341	Adenylate cyclase type 6	Adcy6	2335	sp|Q01341|ADCY6_MOUSE Adenylate cyclase type 6 OS=Mus musculus OX=10090 GN=Adcy6 PE=1 SV=1
6035400	2995400	6066500	4178200	5808500	4176800	4378200	5794700	4485200	4410900	4992200	5309500	6484400	4449400	2846500	5973400	-1	29	29	26	37.5	37.5	33.7	86.161	0	191.67	15858000000	50	Q01405	Q01405	Protein transport protein Sec23A	Sec23a	2336	sp|Q01405|SC23A_MOUSE Protein transport protein Sec23A OS=Mus musculus OX=10090 GN=Sec23a PE=1 SV=2
378590	14185	50159	179160	17377	18634	33650	22143	161180	12446	11312	442720	28280	23527	16413	48476	-1	11	9	8	4.4	4	3.5	270.58	0	38.386	164200000	10	Q01705-3;Q01705;Q01705-2;Q01705-4	Q01705-3;Q01705;Q01705-2;Q01705-4	Neurogenic locus notch homolog protein 1;Notch 1 extracellular truncation;Notch 1 intracellular domain	Notch1	2337	sp|Q01705-3|NOTC1_MOUSE Isoform 3 of Neurogenic locus notch homolog protein 1 OS=Mus musculus OX=10090 GN=Notch1;sp|Q01705|NOTC1_MOUSE Neurogenic locus notch homolog protein 1 OS=Mus musculus OX=10090 GN=Notch1 PE=1 SV=3;sp|Q01705-2|NOTC1_MOUSE Isoform 2 o
981350	143010	4434400	741790	8251300	2177200	600720	9137700	649470	4737000	6139100	1782200	4028500	686960	209320	5849800	-1	13	13	13	44.3	44.3	44.3	35.694	0	253.62	4677400000	25	Q01721	Q01721	Growth arrest-specific protein 1	Gas1	2338	sp|Q01721|GAS1_MOUSE Growth arrest-specific protein 1 OS=Mus musculus OX=10090 GN=Gas1 PE=1 SV=2
3067700	2500000	2786100	2667600	2524100	2413900	2487400	2631300	2551600	2917700	3023600	3017400	3677900	2487300	2277800	2611700	-1	13	13	13	34.3	34.3	34.3	31.55	0	140.58	8509900000	33	Q01730	Q01730	Ras suppressor protein 1	Rsu1	2339	sp|Q01730|RSU1_MOUSE Ras suppressor protein 1 OS=Mus musculus OX=10090 GN=Rsu1 PE=1 SV=3
16314000	7856100	17167000	11588000	23078000	8915200	12020000	18048000	8689700	14488000	13688000	18970000	19278000	10262000	7724300	15955000	-1	8	4	4	58.6	28.3	28.3	17.363	0	26.378	13187000000	7	Q01768	Q01768	Nucleoside diphosphate kinase B	Nme2	2340	sp|Q01768|NDKB_MOUSE Nucleoside diphosphate kinase B OS=Mus musculus OX=10090 GN=Nme2 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	5	5	5	2.9	2.9	2.9	210.82	0	193.84	0	0	Q01815-3;Q01815-2;Q01815	Q01815-3;Q01815-2;Q01815	Voltage-dependent L-type calcium channel subunit alpha-1C	Cacna1c	2341	sp|Q01815-3|CAC1C_MOUSE Isoform 3 of Voltage-dependent L-type calcium channel subunit alpha-1C OS=Mus musculus OX=10090 GN=Cacna1c;sp|Q01815-2|CAC1C_MOUSE Isoform 2 of Voltage-dependent L-type calcium channel subunit alpha-1C OS=Mus musculus OX=10090 GN=Ca
10503000	6683100	11696000	7043400	14020000	7537300	10671000	13836000	6567700	10976000	12534000	9660200	11133000	10104000	6544400	12016000	-1	68	68	68	76.8	76.8	76.8	89.321	0	323.31	155590000000	148	Q01853	Q01853	Transitional endoplasmic reticulum ATPase	Vcp	2342	sp|Q01853|TERA_MOUSE Transitional endoplasmic reticulum ATPase OS=Mus musculus OX=10090 GN=Vcp PE=1 SV=4
12164	7015.89990234375	12901	11036	12748	9400.900390625	12612	12631	12819	14810	14901	12567	14693	12269	6009.7001953125	14912	-1	4	4	4	8.4	8.4	8.4	66.284	0	18.128	68976000	2	Q01887	Q01887	Tyrosine-protein kinase RYK	Ryk	2343	sp|Q01887|RYK_MOUSE Tyrosine-protein kinase RYK OS=Mus musculus OX=10090 GN=Ryk PE=1 SV=2
11759	151890	18160	7327.2001953125	67101	18407	261490	80821	9226.2998046875	75675	83048	10037	26674	237610	165610	20309	-1	5	5	5	13.9	13.9	13.9	73.142	0	323.31	108870000	4	Q01965	Q01965	T-lymphocyte surface antigen Ly-9	Ly9	2344	sp|Q01965|LY9_MOUSE T-lymphocyte surface antigen Ly-9 OS=Mus musculus OX=10090 GN=Ly9 PE=1 SV=2
5037.7001953125	NaN	1246.90002441406	4787.2998046875	20148	431.790008544922	459.440002441406	27108	3925	20457	28882	4498.10009765625	1070.40002441406	702.549987792969	1429.80004882813	1525	-1	4	4	4	13.8	13.8	13.8	28.793	0	323.31	94456000	1	Q02013	Q02013	Aquaporin-1	Aqp1	2345	sp|Q02013|AQP1_MOUSE Aquaporin-1 OS=Mus musculus OX=10090 GN=Aqp1 PE=1 SV=3
25511000	11179000	20491000	16074000	18532000	13794000	13670000	17294000	17079000	17142000	18673000	23617000	23490000	12763000	10987000	19135000	-1	47	47	47	48.5	48.5	48.5	117.81	0	323.31	64376000000	83	Q02053;P31254	Q02053	Ubiquitin-like modifier-activating enzyme 1	Uba1	2346	sp|Q02053|UBA1_MOUSE Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus OX=10090 GN=Uba1 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	2	1	1	3.3	1.8	1.8	81.572	0.0068843	1.3016	128240000	1	Q02111	Q02111	Protein kinase C theta type	Prkcq	2347	sp|Q02111|KPCT_MOUSE Protein kinase C theta type OS=Mus musculus OX=10090 GN=Prkcq PE=1 SV=1
