Pooled_1	U1_V3_1	U1_V3_2	U1_V9_1	U1_V9_2	U1_V15_1	U1_V15_2	U1_V21_1	U1_V21_2	U1_I3_1	U1_I3_2	U1_I9_1	U1_I9_2	U1_I15_1	U1_I15_2	U1_I21_1	U1_I21_2	Pooled_2	U2_V3_1	U2_V3_2	U2_V9_1	U2_V9_2	U2_V15_1	U2_V15_2	U2_V21_1	U2_V21_2	U2_I3_1	U2_I3_2	U2_I9_1	U2_I9_2	U2_I15_1	U2_I15_2	U2_I21_1	U2_I21_2	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Fasta headers
1719700	1994000	1286600	2202700	1973900	1961600	1240600	1487300	1402600	2058200	1556400	1687300	2347700	1757800	1723700	1430400	1829300	2324600	2927700	2409000	2541400	2887000	3835400	3375400	3314900	2178100	1866400	2765100	2448600	3042200	2829100	3109800	2190700	3157000	17	17	15	48.7	48.7	42.9	42.432	0	299.99	69	P49443	P49443	Protein phosphatase 1A	Ppm1a	1550	sp|P49443|PPM1A_MOUSE Protein phosphatase 1A OS=Mus musculus OX=10090 GN=Ppm1a PE=1 SV=1
395830	435840	260950	435590	423040	466670	254730	263460	335390	439120	309830	365420	518550	414470	420730	287400	420040	264100	273570	246160	282850	375030	437370	333460	335440	234000	247430	311030	296140	319660	333510	357950	268250	364100	12	12	12	42.2	42.2	42.2	41.666	0	323.31	19	P49586;Q811Q9;Q811Q9-2	P49586	Choline-phosphate cytidylyltransferase A	Pcyt1a	1551	sp|P49586|PCY1A_MOUSE Choline-phosphate cytidylyltransferase A OS=Mus musculus OX=10090 GN=Pcyt1a PE=1 SV=1
139380	159690	146020	198330	184830	163720	116930	121000	126230	244780	145950	152430	245350	142150	176560	134010	171470	215750	292400	215430	240480	299380	347100	302290	291260	207510	188240	249050	286700	285300	244980	269980	236310	346150	8	7	7	34.2	31.5	31.5	33.288	0	323.31	16	P49615	P49615	Cyclin-dependent-like kinase 5	Cdk5	1552	sp|P49615|CDK5_MOUSE Cyclin-dependent-like kinase 5 OS=Mus musculus OX=10090 GN=Cdk5 PE=1 SV=1
252580	238450	151980	196300	164830	265270	129720	182750	179570	240620	258810	240280	225570	264000	257200	206130	205520	401960	391190	356980	388680	411720	527540	443670	446770	321230	313230	451510	388890	413340	435080	505250	395250	497450	9	9	9	28.9	28.9	28.9	52.683	0	323.31	11	P49698;P49698-2	P49698;P49698-2	Hepatocyte nuclear factor 4-alpha	Hnf4a	1553	sp|P49698|HNF4A_MOUSE Hepatocyte nuclear factor 4-alpha OS=Mus musculus OX=10090 GN=Hnf4a PE=1 SV=2;sp|P49698-2|HNF4A_MOUSE Isoform Short of Hepatocyte nuclear factor 4-alpha OS=Mus musculus OX=10090 GN=Hnf4a
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	378570	477150	458250	471650	656410	557120	447320	498180	367160	304800	470770	351010	409320	378270	437260	378140	505760	6	6	6	12.1	12.1	12.1	54.24	0	323.31	7	P49710	P49710	Hematopoietic lineage cell-specific protein	Hcls1	1554	sp|P49710|HCLS1_MOUSE Hematopoietic lineage cell-specific protein OS=Mus musculus OX=10090 GN=Hcls1 PE=1 SV=2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44355	61585	54862	92990	78569	83741	53369	87013	51536	32138	58320	33900	48041	39013	39632	40192	42223	2	2	2	3.7	3.7	3.7	96.735	0.00013912	3.3925	3	P49717	P49717	DNA replication licensing factor MCM4	Mcm4	1555	sp|P49717|MCM4_MOUSE DNA replication licensing factor MCM4 OS=Mus musculus OX=10090 GN=Mcm4 PE=1 SV=1
6334	8713.2998046875	4846.7998046875	7615.89990234375	9568.5	5732.39990234375	NaN	3995.69995117188	6452.60009765625	8490.900390625	4693	NaN	8756.7998046875	NaN	6570.60009765625	4553.2001953125	NaN	188610	214190	150910	154730	201060	256640	218510	178090	119660	101000	215800	136910	194890	163450	157300	182860	195210	2	2	2	4.8	4.8	4.8	82.406	0.0014657	2.1283	5	P49718	P49718	DNA replication licensing factor MCM5	Mcm5	1556	sp|P49718|MCM5_MOUSE DNA replication licensing factor MCM5 OS=Mus musculus OX=10090 GN=Mcm5 PE=1 SV=2
2153300	2492700	1572900	2598800	2712900	2349900	1870800	1912000	1788200	2617500	1930200	2021800	2319100	2149200	2043300	1830500	2319600	1320800	1619100	1361400	1425400	1693100	2163000	1802200	1727200	1117700	931170	1384000	1334100	1582600	1427100	1529400	1265100	1589700	11	11	11	55.1	55.1	55.1	25.926	0	235.11	66	P49722	P49722	Proteasome subunit alpha type-2	Psma2	1557	sp|P49722|PSA2_MOUSE Proteasome subunit alpha type-2 OS=Mus musculus OX=10090 GN=Psma2 PE=1 SV=3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30555	33350	34364	40215	39955	47915	42959	43719	31736	19458	32516	39972	39865	32336	48544	31331	42975	5	5	5	16.5	16.5	16.5	52.639	0	323.31	4	P49769;P49769-2	P49769	Presenilin-1;Presenilin-1 NTF subunit;Presenilin-1 CTF subunit;Presenilin-1 CTF12	Psen1	1558	sp|P49769|PSN1_MOUSE Presenilin-1 OS=Mus musculus OX=10090 GN=Psen1 PE=1 SV=1
77360	83215	33856	84914	112590	47086	89302	100750	72272	74722	162170	84761	138860	94544	71120	82623	133380	211080	191650	169730	430940	211830	176390	194180	216240	159310	205410	215460	187960	189130	192300	186310	290250	218660	5	4	4	16.2	13.9	13.9	40.466	0	8.193	8	P49813	P49813	Tropomodulin-1	Tmod1	1559	sp|P49813|TMOD1_MOUSE Tropomodulin-1 OS=Mus musculus OX=10090 GN=Tmod1 PE=1 SV=2
24603	13750	13137	23190	30153	23942	19764	40332	26178	14778	26631	18470	48172	29994	32511	29309	54897	23431	12650	13323	41474	86617	23447	20747	25624	14066	15776	23898	21027	20311	26439	18276	20238	16992	2	2	2	12.4	12.4	12.4	20.538	0	3.6119	2	P49817;P49817-2	P49817;P49817-2	Caveolin-1	Cav1	1560	sp|P49817|CAV1_MOUSE Caveolin-1 OS=Mus musculus OX=10090 GN=Cav1 PE=1 SV=1;sp|P49817-2|CAV1_MOUSE Isoform 2 of Caveolin-1 OS=Mus musculus OX=10090 GN=Cav1
4183200	3771700	2721700	4744900	4063300	4642500	2900800	2857900	2979300	5496300	4024700	3613300	5746900	4635900	4102800	3453800	4513100	3030200	3930100	2525000	3075000	3429800	4326400	4419800	3259200	2483200	3079200	4267100	3109500	4473800	3808200	4010700	3631200	4221500	7	7	7	35.4	35.4	35.4	37.17	0	130.68	88	P49935	P49935	Pro-cathepsin H;Cathepsin H mini chain;Cathepsin H;Cathepsin H heavy chain;Cathepsin H light chain	Ctsh	1561	sp|P49935|CATH_MOUSE Pro-cathepsin H OS=Mus musculus OX=10090 GN=Ctsh PE=1 SV=2
138540	147190	77149	123430	110950	137590	64029	80961	95391	135030	87059	122400	114720	77269	120580	77114	95319	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	4	4	39.5	39.5	39.5	10.194	0	63.847	6	P49962	P49962	Signal recognition particle 9 kDa protein	Srp9	1562	sp|P49962|SRP09_MOUSE Signal recognition particle 9 kDa protein OS=Mus musculus OX=10090 GN=Srp9 PE=1 SV=2
4530100	4941800	3441400	5742500	5285000	5426200	3372400	3744100	3886400	5781100	4282800	4168400	6153700	4946700	5352900	4056000	5520400	3908100	4604100	4023600	4069700	4584600	6083000	4876800	4800900	3645200	3568100	4456700	4362400	5016200	4533100	4920900	3781700	5469300	21	21	21	58.4	58.4	58.4	50.37	0	323.31	114	P50136	P50136	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial	Bckdha	1563	sp|P50136|ODBA_MOUSE 2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Bckdha PE=1 SV=1
1211100	1225100	982460	1348800	1266100	1398500	736190	1037000	986350	1399600	802110	1065000	1396200	1086200	1362800	1059300	1116700	3127300	3400600	2775900	2995200	3487700	4375000	3988700	3703000	2710100	2384400	3461800	3010400	3804200	3385300	3754200	2797000	4230800	11	11	11	62.9	62.9	62.9	26.588	0	323.31	50	P50171;P50171-2	P50171;P50171-2	Estradiol 17-beta-dehydrogenase 8	Hsd17b8	1564	sp|P50171|DHB8_MOUSE Estradiol 17-beta-dehydrogenase 8 OS=Mus musculus OX=10090 GN=Hsd17b8 PE=1 SV=2;sp|P50171-2|DHB8_MOUSE Isoform Long of Estradiol 17-beta-dehydrogenase 8 OS=Mus musculus OX=10090 GN=Hsd17b8
11156000	12115000	8622900	12798000	11824000	11141000	6270000	8668000	9137700	14568000	7923000	8636000	11022000	12302000	13434000	10657000	10862000	7809100	9732200	8046400	8263400	8254000	11410000	9859300	10303000	8240300	6565400	9076200	10750000	10287000	9448800	11131000	5705500	10266000	15	15	15	34.6	34.6	34.6	32.364	0	222.79	162	P50172	P50172	Corticosteroid 11-beta-dehydrogenase isozyme 1	Hsd11b1	1565	sp|P50172|DHI1_MOUSE Corticosteroid 11-beta-dehydrogenase isozyme 1 OS=Mus musculus OX=10090 GN=Hsd11b1 PE=1 SV=3
66129000	82567000	59205000	88231000	82124000	81973000	52348000	62924000	63308000	81023000	57133000	66433000	84697000	73618000	89024000	60558000	79130000	52662000	60114000	60243000	56908000	60957000	83393000	65160000	68944000	54782000	40877000	55804000	59175000	60612000	60874000	62655000	44323000	69593000	38	38	37	79.4	79.4	77.8	47.688	0	323.31	850	P50247	P50247	Adenosylhomocysteinase	Ahcy	1566	sp|P50247|SAHH_MOUSE Adenosylhomocysteinase OS=Mus musculus OX=10090 GN=Ahcy PE=1 SV=3
7752900	9593700	6719500	9981200	9029800	9642300	5714300	6992900	7127100	10414000	7828500	7645200	9860300	8815100	10471000	8073000	9977000	6240600	7897800	6061500	6119000	7859100	8711300	9148100	7848400	5189700	4926600	7009200	7490600	7505400	7327500	6622900	5551200	8382000	29	29	29	58.6	58.6	58.6	59.914	0	323.31	170	P50285	P50285	Dimethylaniline monooxygenase [N-oxide-forming] 1	Fmo1	1567	sp|P50285|FMO1_MOUSE Dimethylaniline monooxygenase [N-oxide-forming] 1 OS=Mus musculus OX=10090 GN=Fmo1 PE=1 SV=1
1122600	1327600	707030	1578500	1173200	1278900	825220	989810	976610	1360200	938470	1015000	1120200	1145800	1269200	853410	1358200	548530	742840	594730	715700	764160	1073700	801720	863630	601900	474810	676470	584920	708970	692640	847050	554440	838550	13	13	13	44.8	44.8	44.8	33.701	0	323.31	42	P50295;P50294;P50296	P50295	Arylamine N-acetyltransferase 2	Nat2	1568	sp|P50295|ARY2_MOUSE Arylamine N-acetyltransferase 2 OS=Mus musculus OX=10090 GN=Nat2 PE=1 SV=1
3509400	3723000	2672200	4480500	4052200	3943500	2516000	2840700	2755800	4302400	3405400	3096900	4579100	3713700	3627000	2922700	3898200	1600000	1989100	1660300	1742800	2054000	2411300	2119600	1994300	1397000	1304300	1846400	1670600	2020200	2024600	2089800	1669600	2103300	24	17	17	66.9	51.7	51.7	50.521	0	323.31	83	P50396	P50396	Rab GDP dissociation inhibitor alpha	Gdi1	1569	sp|P50396|GDIA_MOUSE Rab GDP dissociation inhibitor alpha OS=Mus musculus OX=10090 GN=Gdi1 PE=1 SV=3
843020	803380	592630	1054000	883560	941940	592830	666890	696740	1166200	886190	778690	1090600	1004900	1113900	795190	1038100	261140	295950	214990	271130	335260	370380	373310	332020	204740	231570	331230	245670	330610	354960	324440	269830	331090	6	6	6	11.9	11.9	11.9	66.59	0	125.47	22	P50427	P50427	Steryl-sulfatase	Sts	1570	sp|P50427|STS_MOUSE Steryl-sulfatase OS=Mus musculus OX=10090 GN=Sts PE=1 SV=1
72601	50310	42530	77492	63072	62509	43882	49530	48051	96779	65688	66094	79917	70593	61011	48783	69425	172460	175090	23135	102820	94900	140750	168650	121050	16030	155260	138320	86212	171830	131680	195680	132500	193650	4	4	4	14.6	14.6	14.6	53.748	0	18.006	7	P50428	P50428	Arylsulfatase A	Arsa	1571	sp|P50428|ARSA_MOUSE Arylsulfatase A OS=Mus musculus OX=10090 GN=Arsa PE=1 SV=2
974320	849140	545780	895170	878870	911030	496370	606150	606310	1074700	881150	824060	1219400	921670	625190	682050	985090	1818100	2224300	1704600	2174400	2266800	2963000	2668400	2375400	1881200	1814100	2693100	2135600	2862500	2719700	2913700	2476300	2734700	10	10	10	19.1	19.1	19.1	59.646	0	46.458	34	P50429;P50429-2	P50429;P50429-2	Arylsulfatase B	Arsb	1572	sp|P50429|ARSB_MOUSE Arylsulfatase B OS=Mus musculus OX=10090 GN=Arsb PE=1 SV=3;sp|P50429-2|ARSB_MOUSE Isoform 2 of Arylsulfatase B OS=Mus musculus OX=10090 GN=Arsb
11356000	14480000	9456300	15770000	13878000	14647000	8426200	8828800	9318600	14993000	9876900	11010000	15618000	12467000	13999000	10337000	13393000	7175300	8002900	7385100	7211500	7574100	11464000	9460400	8820800	6348900	5183500	7475400	7500400	8937100	8292000	8987100	6821700	9555100	26	25	24	73.4	73.4	72.8	52.6	0	323.31	158	P50431	P50431	Serine hydroxymethyltransferase, cytosolic	Shmt1	1573	sp|P50431|GLYC_MOUSE Serine hydroxymethyltransferase, cytosolic OS=Mus musculus OX=10090 GN=Shmt1 PE=1 SV=3
687230	598880	619060	828310	707710	728890	568240	563770	502970	931610	690380	746230	1095400	749360	650150	726820	705340	83428	81752	74501	125550	76699	124740	92244	87320	73814	71493	77072	92786	114880	111370	122360	95057	132730	5	5	5	40.7	40.7	40.7	20.895	0	323.31	9	P50462	P50462	Cysteine and glycine-rich protein 3	Csrp3	1574	sp|P50462|CSRP3_MOUSE Cysteine and glycine-rich protein 3 OS=Mus musculus OX=10090 GN=Csrp3 PE=1 SV=1
3504000	3791900	2617900	4242300	3980100	4154300	2256400	2874900	2978500	4026400	2704700	3073900	4066100	3259300	4239600	2812500	3362200	2299200	2941900	2803400	2807400	3245900	3820600	3149900	3175800	2518400	1903900	2636400	2685600	2867000	2937000	3088600	2247300	3100200	27	27	27	57.7	57.7	57.7	68.325	0	323.31	111	P50516;P50516-2	P50516;P50516-2	V-type proton ATPase catalytic subunit A	Atp6v1a	1575	sp|P50516|VATA_MOUSE V-type proton ATPase catalytic subunit A OS=Mus musculus OX=10090 GN=Atp6v1a PE=1 SV=2;sp|P50516-2|VATA_MOUSE Isoform 2 of V-type proton ATPase catalytic subunit A OS=Mus musculus OX=10090 GN=Atp6v1a
906640	1034300	670180	1131900	1069400	961890	724690	804580	811770	1074200	841050	799040	1190400	932270	1110200	803930	897710	568160	605720	574490	651300	616880	754390	690170	615140	475720	410440	570490	540380	610560	619380	693440	540260	681530	12	12	12	54	54	54	26.157	0	42.848	32	P50518;Q9D593	P50518	V-type proton ATPase subunit E 1	Atp6v1e1	1576	sp|P50518|VATE1_MOUSE V-type proton ATPase subunit E 1 OS=Mus musculus OX=10090 GN=Atp6v1e1 PE=1 SV=2
2901900	2828500	1989900	3388900	2724500	2600300	2086500	2485900	2381700	3396200	2599600	2523500	4189000	3082600	3949400	2976700	2871200	1670900	1741700	1326100	2598800	3070800	2061200	1556500	1775700	1148700	1187800	1755600	1529700	1541400	1461900	2132000	1909400	1610300	2	2	2	27.6	27.6	27.6	11.083	0	108.14	9	P50543	P50543	Protein S100-A11	S100a11	1577	sp|P50543|S10AB_MOUSE Protein S100-A11 OS=Mus musculus OX=10090 GN=S100a11 PE=1 SV=1
21547000	23198000	17303000	27383000	23425000	27663000	15870000	17988000	20039000	28395000	22059000	24081000	31805000	24764000	25933000	19066000	25571000	24864000	29724000	26437000	27016000	28195000	34576000	30908000	29768000	24081000	20849000	30414000	28079000	33440000	28850000	30503000	28132000	32410000	44	44	43	77.4	77.4	75	70.875	0	323.31	327	P50544	P50544	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial	Acadvl	1578	sp|P50544|ACADV_MOUSE Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadvl PE=1 SV=3
6932500	8215300	5768500	8882400	7482200	8886800	4510800	5743600	7500200	8307200	5740600	7006700	8129600	7021700	8810600	6294700	7459900	6804800	7258200	7597600	7621400	8787300	9947500	8872800	8849400	7239800	5010100	7809700	7363200	8336100	7832200	8714200	5919600	8317800	26	26	26	72.3	72.3	72.3	43.698	0	323.31	174	P50580;P50580-2	P50580;P50580-2	Proliferation-associated protein 2G4	Pa2g4	1579	sp|P50580|PA2G4_MOUSE Proliferation-associated protein 2G4 OS=Mus musculus OX=10090 GN=Pa2g4 PE=1 SV=3;sp|P50580-2|PA2G4_MOUSE Isoform 2 of Proliferation-associated protein 2G4 OS=Mus musculus OX=10090 GN=Pa2g4
279740	252470	157440	291820	238160	231450	154030	188790	198690	267570	190040	240030	290350	272570	231710	194220	230570	30148	40570	36180	37459	46953	52846	58641	51625	37195	30414	41023	44673	49994	43548	50021	20540	44558	17	17	16	25.3	25.3	25.3	84.921	0	323.31	23	P51125;P51125-3;P51125-2;P51125-7;P51125-6;P51125-5;P51125-4	P51125;P51125-3;P51125-2;P51125-7;P51125-6;P51125-5;P51125-4	Calpastatin	Cast	1580	sp|P51125|ICAL_MOUSE Calpastatin OS=Mus musculus OX=10090 GN=Cast PE=1 SV=2;sp|P51125-3|ICAL_MOUSE Isoform 3 of Calpastatin OS=Mus musculus OX=10090 GN=Cast;sp|P51125-2|ICAL_MOUSE Isoform 2 of Calpastatin OS=Mus musculus OX=10090 GN=Cast;sp|P51125-7|ICAL_M
102670	164790	71913	122940	101980	132090	56194	78833	81038	144730	65762	104300	134490	104510	124450	90937	118340	142000	196510	205810	206230	269080	288330	252050	246220	197760	131900	233400	250230	225370	225800	249980	178150	250300	9	9	7	21.3	21.3	18.6	75.358	0	323.31	8	P51141	P51141	Segment polarity protein dishevelled homolog DVL-1	Dvl1	1581	sp|P51141|DVL1_MOUSE Segment polarity protein dishevelled homolog DVL-1 OS=Mus musculus OX=10090 GN=Dvl1 PE=1 SV=2
3672800	4068300	2802100	4256200	3747800	4416900	2492400	3271700	3161000	4462200	3382700	3385000	5007100	4202800	3977400	3343600	4074100	4274900	4688900	4410000	4518100	5223200	6269000	5148000	5101500	3864900	3448600	4766300	4746100	5134200	4875700	5205700	4096900	5413500	15	15	15	76.3	76.3	76.3	23.489	0	313.91	104	P51150	P51150	Ras-related protein Rab-7a	Rab7a	1582	sp|P51150|RAB7A_MOUSE Ras-related protein Rab-7a OS=Mus musculus OX=10090 GN=Rab7a PE=1 SV=2
368730	368820	369000	546100	455520	356370	368270	330990	342560	451930	371760	431180	559590	480390	430640	328020	465190	693360	857220	837080	929420	740420	995170	1034800	752120	687470	600800	799620	735510	749460	720570	877140	773880	921390	7	7	7	46.4	46.4	46.4	28.504	0	62.357	22	P51163	P51163	Uroporphyrinogen-III synthase	Uros	1583	sp|P51163|HEM4_MOUSE Uroporphyrinogen-III synthase OS=Mus musculus OX=10090 GN=Uros PE=1 SV=1
11760000	13092000	8075800	14517000	13428000	14259000	9545300	9805600	10371000	15603000	10055000	10370000	16982000	12980000	14682000	9922900	14888000	9318000	11588000	8395300	9852800	12463000	14270000	12422000	12096000	7879000	8365500	11044000	9888400	12875000	11288000	11664000	7776000	12262000	18	18	18	41.6	41.6	41.6	47.907	0	323.31	224	P51174	P51174	Long-chain specific acyl-CoA dehydrogenase, mitochondrial	Acadl	1584	sp|P51174|ACADL_MOUSE Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadl PE=1 SV=2
1645700	2082300	1356300	2172900	2076100	2084600	1127800	1255100	1430100	2216400	1465900	1782200	2336100	1955100	1973600	1400000	1909800	868340	1134300	860840	916570	1081600	1299500	1145400	1016900	807250	742570	1065700	931520	1100000	1071400	1129100	859860	1170200	15	15	15	53.2	53.2	53.2	50.87	0	323.31	54	P51175	P51175	Protoporphyrinogen oxidase	Ppox	1585	sp|P51175|PPOX_MOUSE Protoporphyrinogen oxidase OS=Mus musculus OX=10090 GN=Ppox PE=1 SV=1
2529500	3742700	2629600	2986400	3853700	3185800	1981500	2260200	2491000	2515500	2122200	2654000	4234900	2587000	2775000	2835200	2510500	2871800	2853600	3760100	3046600	5057400	4038700	3203900	3187900	3451600	1847700	2850900	2295700	2848800	2953900	3447100	2434700	4040400	9	9	9	64.6	64.6	64.6	21.881	0	274.86	50	P51410	P51410	60S ribosomal protein L9	Rpl9	1586	sp|P51410|RL9_MOUSE 60S ribosomal protein L9 OS=Mus musculus OX=10090 GN=Rpl9 PE=2 SV=2
51528	60267	54973	70503	64873	67569	43975	43516	48467	74086	75002	59716	83113	66494	59638	53328	62460	170740	205990	166880	177460	217900	277080	224250	193160	147960	122950	217230	205140	221200	189190	225690	208430	211770	11	11	11	10.4	10.4	10.4	139.49	0	69.59	15	P51432	P51432	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3	Plcb3	1587	sp|P51432|PLCB3_MOUSE 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 OS=Mus musculus OX=10090 GN=Plcb3 PE=1 SV=2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4104.7998046875	NaN	4849.60009765625	NaN	NaN	NaN	NaN	NaN	3611.30004882813	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	9.3	9.3	9.3	19.453	0	172.36	1	P51437	P51437	Cathelin-related antimicrobial peptide	Camp	1588	sp|P51437|CAMP_MOUSE Cathelicidin antimicrobial peptide OS=Mus musculus OX=10090 GN=Camp PE=1 SV=2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	6.8	6.8	6.8	58.117	0	54.146	0	P51450;P51450-3;P51450-2	P51450;P51450-3;P51450-2	Nuclear receptor ROR-gamma	Rorc	1589	sp|P51450|RORG_MOUSE Nuclear receptor ROR-gamma OS=Mus musculus OX=10090 GN=Rorc PE=1 SV=1;sp|P51450-3|RORG_MOUSE Isoform 3 of Nuclear receptor ROR-gamma OS=Mus musculus OX=10090 GN=Rorc;sp|P51450-2|RORG_MOUSE Isoform 2 of Nuclear receptor ROR-gamma OS=Mus
524530	549760	303730	573210	510650	535550	263440	327210	345990	672520	488960	491880	733510	553390	574840	438840	598940	515070	646050	461100	633660	664930	768200	696330	583990	489950	529710	730980	637080	757420	736990	842650	719270	790610	7	7	7	22.4	22.4	22.4	47.642	0	176.61	19	P51569	P51569	Alpha-galactosidase A	Gla	1590	sp|P51569|AGAL_MOUSE Alpha-galactosidase A OS=Mus musculus OX=10090 GN=Gla PE=1 SV=1
193840	187140	117050	219290	209850	174820	122420	129080	137040	267260	207410	204140	275550	209510	215610	153200	211610	198400	219400	160820	185920	277260	232230	223300	200370	128660	156560	226180	198690	247430	186650	227690	212560	235360	6	6	6	9.4	9.4	9.4	104.52	0	323.31	4	P51612	P51612	DNA repair protein complementing XP-C cells homolog	Xpc	1591	sp|P51612|XPC_MOUSE DNA repair protein complementing XP-C cells homolog OS=Mus musculus OX=10090 GN=Xpc PE=1 SV=2
304690	352610	181140	310300	286610	343510	136970	225480	183470	342420	215980	287520	355170	295300	384650	211540	314950	142140	194950	148430	157920	180940	247240	201380	217490	108260	98926	186120	168040	201570	206010	219850	167950	217400	9	9	9	21	21	21	62.586	0	299.86	23	P51655;Q9R087	P51655	Glypican-4;Secreted glypican-4	Gpc4	1592	sp|P51655|GPC4_MOUSE Glypican-4 OS=Mus musculus OX=10090 GN=Gpc4 PE=1 SV=2
1454300	1913000	1213600	1821700	1623300	1651900	950580	1120500	1385200	1837200	1387600	1534000	2005200	1499000	1110400	1486000	1512300	1756500	1921000	2310800	2249200	1708600	2779600	2272100	2532600	2132800	1436200	2176300	2477600	2390300	2152000	2525800	1581100	2282500	19	19	19	57.7	57.7	57.7	41.835	0	313.49	62	P51658	P51658	Estradiol 17-beta-dehydrogenase 2	Hsd17b2	1593	sp|P51658|DHB2_MOUSE Estradiol 17-beta-dehydrogenase 2 OS=Mus musculus OX=10090 GN=Hsd17b2 PE=1 SV=2
25142000	28797000	21745000	32187000	29356000	30334000	17688000	21886000	24869000	31252000	20870000	24318000	31986000	24535000	23921000	21319000	26716000	14190000	18650000	15624000	14686000	17534000	18063000	18663000	20200000	13868000	9718300	14273000	14895000	16373000	15972000	14683000	10728000	17595000	41	41	41	64.2	64.2	64.2	79.481	0	323.31	270	P51660	P51660	Peroxisomal multifunctional enzyme type 2;(3R)-hydroxyacyl-CoA dehydrogenase;Enoyl-CoA hydratase 2	Hsd17b4	1594	sp|P51660|DHB4_MOUSE Peroxisomal multifunctional enzyme type 2 OS=Mus musculus OX=10090 GN=Hsd17b4 PE=1 SV=3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45384	17117	30550	635950	28391	20552	25759	27102	20442	15956	19085	10231	13499	28061	39910	20874	11488	4	4	4	27.7	27.7	27.7	18.864	0	230.2	2	P51667	P51667	Myosin regulatory light chain 2, ventricular/cardiac muscle isoform	Myl2	1595	sp|P51667|MLRV_MOUSE Myosin regulatory light chain 2, ventricular/cardiac muscle isoform OS=Mus musculus OX=10090 GN=Myl2 PE=1 SV=3
110460	153870	102730	131180	162820	190120	62607	149780	107120	165770	85960	131200	164230	148560	178700	127790	149060	88241	127060	100800	131760	151010	205980	112950	167690	125160	97689	117330	115650	164050	98772	86292	97897	166770	6	6	6	8.5	8.5	8.5	90.233	0	19.294	11	P51791-5;P51791-3;P51791;P51791-2;P51791-4	P51791-5;P51791-3;P51791;P51791-2;P51791-4	H(+)/Cl(-) exchange transporter 3	Clcn3	1597	sp|P51791-5|CLCN3_MOUSE Isoform 5 of H(+)/Cl(-) exchange transporter 3 OS=Mus musculus OX=10090 GN=Clcn3;sp|P51791-3|CLCN3_MOUSE Isoform 3 of H(+)/Cl(-) exchange transporter 3 OS=Mus musculus OX=10090 GN=Clcn3;sp|P51791|CLCN3_MOUSE H(+)/Cl(-) exchange tran
193260	208800	111770	221090	204440	223070	133980	170540	172090	213800	162220	197210	236500	208960	231010	183690	206270	76479	77394	87236	85707	94236	125860	95691	111650	86994	54958	72520	77901	79201	94162	106540	49811	91264	12	12	12	13.8	13.8	13.8	150.95	0	323.31	12	P51830	P51830	Adenylate cyclase type 9	Adcy9	1598	sp|P51830|ADCY9_MOUSE Adenylate cyclase type 9 OS=Mus musculus OX=10090 GN=Adcy9 PE=1 SV=1
4150800	4311200	3403600	5024800	4443200	4648000	2855500	3327100	3624100	5390900	4015200	4253600	5766900	4875400	5161700	4023700	4508600	4317500	5713100	4442200	4837900	4664300	6804100	5733600	5662100	3733600	3613700	5448500	4991500	5947600	5150700	6168500	4481800	5655000	20	20	18	50.2	50.2	50	52.246	0	323.31	106	P51855;REV__P70451-3;REV__P70451-2;REV__P70451-5;REV__P70451	P51855	Glutathione synthetase	Gss	1599	sp|P51855|GSHB_MOUSE Glutathione synthetase OS=Mus musculus OX=10090 GN=Gss PE=1 SV=1
