Ink_P1	Ink_15	Ink_1	Ink_9	Ink_13	Ink_6	Ink_3	Ink_11	Ink_4	Ink_12	Ink_5	Ink_2	Ink_15	Ink_14	Ink_7	Ink_16	Ink_8	Ink_P2	Taxonomy IDs	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Fasta headers
478830	645140	784660	608920	688760	739990	702560	650690	775930	639800	685360	658500	716320	681290	727270	655220	730060	491760	-1	17	17	15	27.1	27.1	24.2	86.161	0	237.48	24	Q01405	Q01405	Protein transport protein Sec23A	Sec23a	2236	sp|Q01405|SC23A_MOUSE Protein transport protein Sec23A OS=Mus musculus OX=10090 GN=Sec23a PE=1 SV=2
2036.19995117188	1641	4041.80004882813	2518.39990234375	2740.10009765625	2755.5	1729.80004882813	1944.40002441406	3139.80004882813	1821.80004882813	2703.89990234375	2511.69995117188	4221.5	2107	3440	1412.80004882813	NaN	1946.69995117188	-1	2	2	2	1.2	1.2	1.2	237.41	0	9.9668	3	Q01705-2;Q01705-4;Q01705-3;Q01705	Q01705-2;Q01705-4;Q01705-3;Q01705	Neurogenic locus notch homolog protein 1;Notch 1 extracellular truncation;Notch 1 intracellular domain	Notch1	2237	sp|Q01705-2|NOTC1_MOUSE Isoform 2 of Neurogenic locus notch homolog protein 1 OS=Mus musculus OX=10090 GN=Notch1;sp|Q01705-4|NOTC1_MOUSE Isoform 4 of Neurogenic locus notch homolog protein 1 OS=Mus musculus OX=10090 GN=Notch1;sp|Q01705-3|NOTC1_MOUSE Isofor
393210	532560	709730	574820	585840	647240	734470	603860	670200	569150	579670	606150	611450	677720	631970	594860	648840	433890	-1	6	6	6	22.4	22.4	22.4	31.55	0	12.411	14	Q01730	Q01730	Ras suppressor protein 1	Rsu1	2238	sp|Q01730|RSU1_MOUSE Ras suppressor protein 1 OS=Mus musculus OX=10090 GN=Rsu1 PE=1 SV=3
3025600	4137800	4910000	4192700	4391400	5472200	4591400	3964700	4593700	3619600	3606100	3996200	3892500	3761800	3840900	3425700	3515300	2925400	-1	13	7	7	86.2	55.3	55.3	17.363	0	27.657	13	Q01768	Q01768	Nucleoside diphosphate kinase B	Nme2	2239	sp|Q01768|NDKB_MOUSE Nucleoside diphosphate kinase B OS=Mus musculus OX=10090 GN=Nme2 PE=1 SV=1
85613	112870	151130	124880	125760	141650	99955	118210	163470	118270	132580	133860	140930	136180	144810	99784	85324	96238	-1	18	18	12	10.1	10.1	6.9	210.82	0	153.92	13	Q01815-3;Q01815-2;Q01815;Q02789-2;Q02789;Q9JIS7	Q01815-3;Q01815-2;Q01815	Voltage-dependent L-type calcium channel subunit alpha-1C	Cacna1c	2240	sp|Q01815-3|CAC1C_MOUSE Isoform 3 of Voltage-dependent L-type calcium channel subunit alpha-1C OS=Mus musculus OX=10090 GN=Cacna1c;sp|Q01815-2|CAC1C_MOUSE Isoform 2 of Voltage-dependent L-type calcium channel subunit alpha-1C OS=Mus musculus OX=10090 GN=Ca
1971000	2575100	3580900	2959500	3042500	3511900	2683200	3000900	3403600	2751000	3091300	2911100	3123800	2743900	3271500	2475300	3090500	2154200	-1	54	54	54	68.7	68.7	68.7	89.321	0	323.31	169	Q01853	Q01853	Transitional endoplasmic reticulum ATPase	Vcp	2241	sp|Q01853|TERA_MOUSE Transitional endoplasmic reticulum ATPase OS=Mus musculus OX=10090 GN=Vcp PE=1 SV=4
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	1	1	1	7.4	7.4	7.4	28.793	0	3.9724	0	Q02013	Q02013	Aquaporin-1	Aqp1	2242	sp|Q02013|AQP1_MOUSE Aquaporin-1 OS=Mus musculus OX=10090 GN=Aqp1 PE=1 SV=3
3845500	5016600	6154500	5400200	5634800	6309600	5698200	4975400	6539800	5120000	5520000	5100400	5816800	5746000	6825900	4589800	4005700	4287300	-1	46	46	46	61.5	61.5	61.5	117.81	0	323.31	152	Q02053;P31254	Q02053	Ubiquitin-like modifier-activating enzyme 1	Uba1	2243	sp|Q02053|UBA1_MOUSE Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus OX=10090 GN=Uba1 PE=1 SV=1
71591	85526	98053	82308	86583	77603	79142	84873	100420	88830	90752	76766	78505	89803	104420	79453	89308	68000	-1	6	6	6	30.1	30.1	30.1	25.991	0	117.31	8	Q02105	Q02105	Complement C1q subcomponent subunit C	C1qc	2244	sp|Q02105|C1QC_MOUSE Complement C1q subcomponent subunit C OS=Mus musculus OX=10090 GN=C1qc PE=1 SV=2
7678.39990234375	10869	12762	12057	11094	14405	16544	12546	12245	11706	9986.2001953125	14063	13292	13320	11973	12432	19071	9443.7998046875	-1	4	3	3	7.1	5.7	5.7	81.572	0	5.8403	3	Q02111	Q02111	Protein kinase C theta type	Prkcq	2245	sp|Q02111|KPCT_MOUSE Protein kinase C theta type OS=Mus musculus OX=10090 GN=Prkcq PE=1 SV=1
2146000	2841300	3535200	2791400	3027700	3787400	2249000	2986800	3593000	2819600	3613500	3310700	3594000	3058300	3428800	2478500	2810500	2419900	-1	31	31	26	48.5	48.5	41.5	85.47	0	323.31	55	Q02248	Q02248	Catenin beta-1	Ctnnb1	2246	sp|Q02248|CTNB1_MOUSE Catenin beta-1 OS=Mus musculus OX=10090 GN=Ctnnb1 PE=1 SV=1
333880	413570	538280	454370	453820	484590	504830	435660	529920	482640	480400	489940	468220	468860	522610	480020	438940	393780	-1	19	14	13	32.9	25.5	23.9	81.8	0	116.17	22	Q02257	Q02257	Junction plakoglobin	Jup	2247	sp|Q02257|PLAK_MOUSE Junction plakoglobin OS=Mus musculus OX=10090 GN=Jup PE=1 SV=3
748160	904820	858760	946070	1400900	976170	2211100	1006600	818230	762010	697400	872200	1042400	1021800	851490	764990	900880	769110	-1	50	45	45	35.9	33.8	33.8	204.22	0	323.31	53	Q02357;Q02357-4;Q02357-6;Q02357-5;Q02357-3;Q02357-2;Q02357-7	Q02357;Q02357-4;Q02357-6;Q02357-5;Q02357-3;Q02357-2	Ankyrin-1	Ank1	2248	sp|Q02357|ANK1_MOUSE Ankyrin-1 OS=Mus musculus OX=10090 GN=Ank1 PE=1 SV=2;sp|Q02357-4|ANK1_MOUSE Isoform Br4 of Ankyrin-1 OS=Mus musculus OX=10090 GN=Ank1;sp|Q02357-6|ANK1_MOUSE Isoform 6 of Ankyrin-1 OS=Mus musculus OX=10090 GN=Ank1;sp|Q02357-5|ANK1_MOUSE
21648	25520	36015	24780	25627	35137	25456	25475	34153	28665	25109	30002	31830	29941	29536	18448	18938	21573	-1	13	6	6	11.8	5.9	5.9	153.12	0	20.959	7	Q02384	Q02384	Son of sevenless homolog 2	Sos2	2249	sp|Q02384|SOS2_MOUSE Son of sevenless homolog 2 OS=Mus musculus OX=10090 GN=Sos2 PE=1 SV=2
57103	71563	88600	80432	74945	80821	83809	65048	85015	69819	77255	83405	68655	84700	83593	81305	92590	68216	-1	2	2	2	6.5	6.5	6.5	33.832	0	9.8625	2	Q02614	Q02614	SAP30-binding protein	Sap30bp	2251	sp|Q02614|S30BP_MOUSE SAP30-binding protein OS=Mus musculus OX=10090 GN=Sap30bp PE=1 SV=2
36619	44277	52859	52026	62979	59103	54197	41654	61641	48400	51597	55506	48997	51337	53647	44912	55382	38135	-1	8	6	6	23.4	18.2	18.2	51.497	0	177.82	3	Q02780-5;Q02780-3;Q02780-7;Q02780-4;Q02780;Q02780-2;Q02780-6	Q02780-5;Q02780-3;Q02780-7;Q02780-4;Q02780;Q02780-2;Q02780-6	Nuclear factor 1 A-type	Nfia	2252	sp|Q02780-5|NFIA_MOUSE Isoform 5 of Nuclear factor 1 A-type OS=Mus musculus OX=10090 GN=Nfia;sp|Q02780-3|NFIA_MOUSE Isoform 3 of Nuclear factor 1 A-type OS=Mus musculus OX=10090 GN=Nfia;sp|Q02780-7|NFIA_MOUSE Isoform 7 of Nuclear factor 1 A-type OS=Mus mus
22288	31737	29921	29619	33634	33413	77972	34492	32580	30439	28980	26880	34512	33332	34012	23143	19509	27958	-1	3	3	3	2.9	2.9	2.9	110.33	0	10.626	3	Q02788	Q02788	Collagen alpha-2(VI) chain	Col6a2	2253	sp|Q02788|CO6A2_MOUSE Collagen alpha-2(VI) chain OS=Mus musculus OX=10090 GN=Col6a2 PE=1 SV=3
450780	580740	711860	585370	630960	701620	787850	618280	674290	630530	622120	642720	663960	688870	666540	503670	443780	522330	-1	23	23	23	47.5	47.5	47.5	53.408	0	287.73	24	Q02819	Q02819	Nucleobindin-1	Nucb1	2254	sp|Q02819|NUCB1_MOUSE Nucleobindin-1 OS=Mus musculus OX=10090 GN=Nucb1 PE=1 SV=2
29497	30971	52101	36667	39383	43883	32600	39483	43204	49658	40213	43352	39305	41528	43506	43815	49536	33647	-1	4	4	4	13.2	13.2	13.2	46.6	0	75.554	3	Q02956-2;Q02956	Q02956-2;Q02956	Protein kinase C zeta type	Prkcz	2255	sp|Q02956-2|KPCZ_MOUSE Isoform 2 of Protein kinase C zeta type OS=Mus musculus OX=10090 GN=Prkcz;sp|Q02956|KPCZ_MOUSE Protein kinase C zeta type OS=Mus musculus OX=10090 GN=Prkcz PE=1 SV=2
91994	83237	179830	148970	110360	160500	119710	98184	132910	143420	121880	137490	144360	108900	134370	119570	136780	99335	-1	11	11	11	19.3	19.3	19.3	71.852	0	53.643	13	Q03059	Q03059	Choline O-acetyltransferase	Chat	2256	sp|Q03059|CLAT_MOUSE Choline O-acetyltransferase OS=Mus musculus OX=10090 GN=Chat PE=2 SV=2
848510	1151600	1346500	1068300	1141000	1152700	799800	1120100	1542600	1055600	1408400	1308400	1257800	1355700	1514300	1148900	1033500	911060	-1	26	26	23	39.1	39.1	35.7	109.81	0	323.31	38	Q03137;Q03137-2;Q03145;P29319	Q03137;Q03137-2	Ephrin type-A receptor 4	Epha4	2257	sp|Q03137|EPHA4_MOUSE Ephrin type-A receptor 4 OS=Mus musculus OX=10090 GN=Epha4 PE=1 SV=2;sp|Q03137-2|EPHA4_MOUSE Isoform Short of Ephrin type-A receptor 4 OS=Mus musculus OX=10090 GN=Epha4
165180	218090	297030	226640	211880	270640	239070	217120	248420	224580	242150	261410	228880	283520	251620	231580	270450	179930	-1	25	15	14	40.9	26.6	25.4	84.389	0	95.07	14	Q03141;Q03141-3;Q03141-2	Q03141;Q03141-3;Q03141-2	MAP/microtubule affinity-regulating kinase 3	Mark3	2258	sp|Q03141|MARK3_MOUSE MAP/microtubule affinity-regulating kinase 3 OS=Mus musculus OX=10090 GN=Mark3 PE=1 SV=2;sp|Q03141-3|MARK3_MOUSE Isoform 3 of MAP/microtubule affinity-regulating kinase 3 OS=Mus musculus OX=10090 GN=Mark3;sp|Q03141-2|MARK3_MOUSE Isofo
45979	60464	77065	63918	59834	73984	46565	52769	80911	52983	67458	73162	76653	61760	61571	37117	43358	50468	-1	5	5	5	4.9	4.9	4.9	97.206	0	5.4487	5	Q03146-2;Q03146	Q03146-2;Q03146	Epithelial discoidin domain-containing receptor 1	Ddr1	2259	sp|Q03146-2|DDR1_MOUSE Isoform 2 of Epithelial discoidin domain-containing receptor 1 OS=Mus musculus OX=10090 GN=Ddr1;sp|Q03146|DDR1_MOUSE Epithelial discoidin domain-containing receptor 1 OS=Mus musculus OX=10090 GN=Ddr1 PE=2 SV=2
26496	38248	48413	38364	39237	39770	38401	36671	39085	39461	36006	38474	38355	41888	44239	40949	47535	24103	-1	3	3	3	10.4	10.4	10.4	38.968	0	4.7448	3	Q03147;Q8BWQ5	Q03147	Cyclin-dependent kinase 7	Cdk7	2260	sp|Q03147|CDK7_MOUSE Cyclin-dependent kinase 7 OS=Mus musculus OX=10090 GN=Cdk7 PE=1 SV=2
141640	170590	240870	206200	198810	266290	165440	178810	232900	182560	228570	229030	227320	189720	227940	155270	143180	154510	-1	11	11	11	17.6	17.6	17.6	72.75	0	27.644	16	Q03157	Q03157	Amyloid-like protein 1;C30	Aplp1	2261	sp|Q03157|APLP1_MOUSE Amyloid-like protein 1 OS=Mus musculus OX=10090 GN=Aplp1 PE=1 SV=1
268750	329190	398750	365820	369550	410480	412950	303550	403430	303390	353550	358960	390080	428970	402620	335500	352280	324400	-1	16	16	15	26.8	26.8	25.7	83.775	0	154.47	19	Q03173-4;Q03173-5;Q03173;Q03173-6;Q03173-3;Q03173-2	Q03173-4;Q03173-5;Q03173;Q03173-6;Q03173-3	Protein enabled homolog	Enah	2262	sp|Q03173-4|ENAH_MOUSE Isoform 3 of Protein enabled homolog OS=Mus musculus OX=10090 GN=Enah;sp|Q03173-5|ENAH_MOUSE Isoform 4 of Protein enabled homolog OS=Mus musculus OX=10090 GN=Enah;sp|Q03173|ENAH_MOUSE Protein enabled homolog OS=Mus musculus OX=10090
20121	28331	38187	28893	30185	35305	30781	28703	38427	29938	30311	32500	30842	30693	36294	33562	36995	21728	-1	2	2	2	6.6	6.6	6.6	43.232	0	4.1198	3	Q03249	Q03249	Galactose-1-phosphate uridylyltransferase	Galt	2263	sp|Q03249|GALT_MOUSE Galactose-1-phosphate uridylyltransferase OS=Mus musculus OX=10090 GN=Galt PE=1 SV=3
680000	880700	1115600	939900	1025400	1110600	1111100	927880	1070900	932100	934170	964230	1099300	1012800	1098100	982270	1079900	765330	-1	34	34	34	68.4	68.4	68.4	59.752	0	323.31	297	Q03265	Q03265	ATP synthase subunit alpha, mitochondrial	Atp5a1	2264	sp|Q03265|ATPA_MOUSE ATP synthase subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1a PE=1 SV=1
1372.19995117188	2070.80004882813	2350.39990234375	2376.60009765625	2185.10009765625	2910.69995117188	4139.2998046875	2117.5	2423.19995117188	2302.89990234375	854.059997558594	2645.89990234375	3089.10009765625	3718.69995117188	2831.80004882813	2935.39990234375	3732.19995117188	2369	-1	4	4	4	4.7	4.7	4.7	142.96	0	124.77	1	Q03391	Q03391	Glutamate receptor ionotropic, NMDA 2D	Grin2d	2265	sp|Q03391|NMDE4_MOUSE Glutamate receptor ionotropic, NMDA 2D OS=Mus musculus OX=10090 GN=Grin2d PE=1 SV=3
290710	334640	481630	363530	397220	632340	501000	359140	286150	417330	227780	427880	431910	505380	353400	403740	569670	303550	-1	27	27	27	49.3	49.3	49.3	70.643	0	323.31	37	Q03517	Q03517	Secretogranin-2;Secretoneurin;Manserin	Scg2	2266	sp|Q03517|SCG2_MOUSE Secretogranin-2 OS=Mus musculus OX=10090 GN=Scg2 PE=1 SV=1
101380	120790	134440	111090	92801	111430	73452	116870	152270	136010	134430	105180	106870	133160	160350	145140	136480	87873	-1	16	16	15	22.4	22.4	21.4	95.59	0	241.65	6	Q03717	Q03717	Potassium voltage-gated channel subfamily B member 1	Kcnb1	2267	sp|Q03717|KCNB1_MOUSE Potassium voltage-gated channel subfamily B member 1 OS=Mus musculus OX=10090 GN=Kcnb1 PE=1 SV=2
8179.89990234375	10069	14705	12612	11176	14016	17888	12215	12484	12637	13879	14301	13475	13717	13536	12564	13870	10192	-1	5	4	4	13.5	12.4	12.4	71.697	0	323.31	3	Q03719	Q03719	Potassium voltage-gated channel subfamily D member 1	Kcnd1	2268	sp|Q03719|KCND1_MOUSE Potassium voltage-gated channel subfamily D member 1 OS=Mus musculus OX=10090 GN=Kcnd1 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	8	1	1	16.7	2.4	2.4	47.064	0.0083061	1.4232	1	Q03734	Q03734	Serine protease inhibitor A3M	Serpina3m	2269	sp|Q03734|SPA3M_MOUSE Serine protease inhibitor A3M OS=Mus musculus OX=10090 GN=Serpina3m PE=1 SV=2
78149	93833	124860	95412	105600	129580	129680	97016	109000	98758	98647	93759	117500	113910	115990	105010	136410	73939	-1	2	2	2	15.7	15.7	15.7	14.454	0	24.105	5	Q03958	Q03958	Prefoldin subunit 6	Pfdn6	2270	sp|Q03958|PFD6_MOUSE Prefoldin subunit 6 OS=Mus musculus OX=10090 GN=Pfdn6 PE=1 SV=1
10520	14353	18219	15387	15946	15490	20697	11959	16483	14064	12744	15548	17385	18108	15855	14011	19504	13100	-1	4	4	4	11.5	11.5	11.5	58.279	0	9.728	2	Q03963	Q03963	Interferon-induced, double-stranded RNA-activated protein kinase	Eif2ak2	2271	sp|Q03963|E2AK2_MOUSE Interferon-induced, double-stranded RNA-activated protein kinase OS=Mus musculus OX=10090 GN=Eif2ak2 PE=1 SV=2
14454	12449	20128	18976	19878	19811	22326	16554	20818	18757	13179	20606	20358	21151	20294	17089	19924	15949	-1	5	5	5	12.1	12.1	12.1	59.06	0	6.7326	5	Q04207-2;Q04207	Q04207-2;Q04207	Transcription factor p65	Rela	2272	sp|Q04207-2|TF65_MOUSE Isoform p65 delta of Transcription factor p65 OS=Mus musculus OX=10090 GN=Rela;sp|Q04207|TF65_MOUSE Transcription factor p65 OS=Mus musculus OX=10090 GN=Rela PE=1 SV=1
1920200	2689900	3128900	2692900	2738100	3048600	3683700	2776200	3303300	2928300	2492400	3044300	2810600	3132000	3400500	3151500	3353400	2269100	-1	25	25	24	70.1	70.1	70.1	42.713	0	323.31	354	Q04447	Q04447	Creatine kinase B-type	Ckb	2273	sp|Q04447|KCRB_MOUSE Creatine kinase B-type OS=Mus musculus OX=10090 GN=Ckb PE=1 SV=1
152490	187110	226970	186170	186710	208170	234500	214120	231240	191320	203270	184760	188000	191120	216680	187600	217280	165710	-1	7	7	7	12.1	12.1	12.1	69.926	0	50.109	7	Q04519	Q04519	Sphingomyelin phosphodiesterase	Smpd1	2274	sp|Q04519|ASM_MOUSE Sphingomyelin phosphodiesterase OS=Mus musculus OX=10090 GN=Smpd1 PE=1 SV=2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	3	3	3	3.4	3.4	3.4	44.014	0	13.549	0	Q04573	Q04573	Neuropeptide Y receptor type 1	Npy1r	2275	sp|Q04573|NPY1R_MOUSE Neuropeptide Y receptor type 1 OS=Mus musculus OX=10090 GN=Npy1r PE=1 SV=1
611840	758070	1019700	776870	825460	1006700	748790	701090	963670	764220	850350	880660	933310	822520	867120	638040	668450	681250	-1	59	59	59	22.2	22.2	22.2	317.22	0	323.31	63	Q04690-2;Q04690;Q04690-4;Q04690-3	Q04690-2;Q04690	Neurofibromin	Nf1	2276	sp|Q04690-2|NF1_MOUSE Isoform I of Neurofibromin OS=Mus musculus OX=10090 GN=Nf1;sp|Q04690|NF1_MOUSE Neurofibromin OS=Mus musculus OX=10090 GN=Nf1 PE=1 SV=1
NaN	807.960021972656	709.219970703125	424.100006103516	377.609985351563	254.570007324219	278.829986572266	387.429992675781	493.570007324219	526.049987792969	912.679992675781	826.510009765625	564.099975585938	691.590026855469	672.510009765625	584.02001953125	NaN	421.279998779297	-1	6	6	6	12.3	12.3	12.3	116.45	0	243.17	1	Q04692;Q04692-2	Q04692	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1	Smarcad1	2277	sp|Q04692|SMRCD_MOUSE SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 OS=Mus musculus OX=10090 GN=Smarcad1 PE=1 SV=2
348090	453310	657580	527430	517710	595750	449040	448050	598320	495610	541350	515180	541680	517080	599120	393190	391690	395190	-1	18	18	13	44	44	35.7	55.913	0	126.27	22	Q04735;Q04735-2	Q04735;Q04735-2	Cyclin-dependent kinase 16	Cdk16	2278	sp|Q04735|CDK16_MOUSE Cyclin-dependent kinase 16 OS=Mus musculus OX=10090 GN=Cdk16 PE=1 SV=1;sp|Q04735-2|CDK16_MOUSE Isoform Short of Cyclin-dependent kinase 16 OS=Mus musculus OX=10090 GN=Cdk16
118850	135200	168270	142800	150650	166700	178880	137800	155370	149280	113580	146030	171240	162580	151460	150900	166190	108220	-1	13	5	5	25.7	13.7	13.7	60.629	0	51.027	6	Q04736;P08103-2;P08103	Q04736	Tyrosine-protein kinase Yes	Yes1	2279	sp|Q04736|YES_MOUSE Tyrosine-protein kinase Yes OS=Mus musculus OX=10090 GN=Yes1 PE=1 SV=3
8785.7998046875	11202	18583	10899	9327.2998046875	14706	18573	12634	16248	14750	12507	12983	15348	15040	15202	13164	17055	11047	-1	1	1	1	1.3	1.3	1.3	90.875	0.0021066	2.2387	1	Q04750	Q04750	DNA topoisomerase 1	Top1	2280	sp|Q04750|TOP1_MOUSE DNA topoisomerase 1 OS=Mus musculus OX=10090 GN=Top1 PE=1 SV=2
12606	15063	22272	17834	19985	23478	19689	18664	22531	18709	14547	15619	18564	16795	15992	17516	25504	16038	-1	2	2	2	45.7	45.7	45.7	9.6815	0	127.38	1	Q04758;Q04758-2	Q04758;Q04758-2	cAMP-dependent protein kinase inhibitor beta	Pkib	2281	sp|Q04758|IPKB_MOUSE cAMP-dependent protein kinase inhibitor beta OS=Mus musculus OX=10090 GN=Pkib PE=3 SV=1;sp|Q04758-2|IPKB_MOUSE Isoform 1 of cAMP-dependent protein kinase inhibitor beta OS=Mus musculus OX=10090 GN=Pkib
47404	61268	55249	53339	65227	70600	156770	61468	65379	54423	44619	54376	65180	58940	66485	52131	67314	50150	-1	5	5	5	8.7	8.7	8.7	108.49	0	42.534	7	Q04857	Q04857	Collagen alpha-1(VI) chain	Col6a1	2282	sp|Q04857|CO6A1_MOUSE Collagen alpha-1(VI) chain OS=Mus musculus OX=10090 GN=Col6a1 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	3	2	2	9.3	6	6	49.878	0	4.3206	1	Q04886	Q04886	Transcription factor SOX-8	Sox8	2284	sp|Q04886|SOX8_MOUSE Transcription factor SOX-8 OS=Mus musculus OX=10090 GN=Sox8 PE=2 SV=2
33784	39091	51451	43544	44800	52118	71384	48640	53395	44353	38009	50231	48156	46462	50316	46279	54738	39990	-1	6	6	5	20	20	16.7	49.949	0	142.11	2	Q04888;Q04887	Q04888	Transcription factor SOX-10	Sox10	2285	sp|Q04888|SOX10_MOUSE Transcription factor SOX-10 OS=Mus musculus OX=10090 GN=Sox10 PE=1 SV=2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	3	3	3	9.6	9.6	9.6	68.167	0.0010767	2.6451	1	Q04891	Q04891	Transcription factor SOX-13	Sox13	2286	sp|Q04891|SOX13_MOUSE Transcription factor SOX-13 OS=Mus musculus OX=10090 GN=Sox13 PE=1 SV=4
218220	260840	401180	322490	314190	426850	360080	286970	315020	347220	263290	323100	367460	339280	320280	326770	357600	227210	-1	15	12	12	33	26.4	26.4	51.847	0	103.53	13	Q04899	Q04899	Cyclin-dependent kinase 18	Cdk18	2287	sp|Q04899|CDK18_MOUSE Cyclin-dependent kinase 18 OS=Mus musculus OX=10090 GN=Cdk18 PE=1 SV=1
159340	181150	285410	252790	193230	287480	258760	186140	181430	275450	205520	240960	231060	230450	220530	264410	302200	173360	-1	7	7	7	23.4	23.4	23.4	38.113	0	50.143	8	Q05186	Q05186	Reticulocalbin-1	Rcn1	2288	sp|Q05186|RCN1_MOUSE Reticulocalbin-1 OS=Mus musculus OX=10090 GN=Rcn1 PE=1 SV=1
229060	351970	414040	379600	304710	384280	294700	297600	408650	333240	388690	348670	388210	354050	365930	351440	337980	273910	-1	24	18	18	38.9	29.1	29.1	86.305	0	167.08	16	Q05512;Q05512-3;Q05512-4;Q05512-2	Q05512;Q05512-3;Q05512-4;Q05512-2	Serine/threonine-protein kinase MARK2	Mark2	2289	sp|Q05512|MARK2_MOUSE Serine/threonine-protein kinase MARK2 OS=Mus musculus OX=10090 GN=Mark2 PE=1 SV=3;sp|Q05512-3|MARK2_MOUSE Isoform 3 of Serine/threonine-protein kinase MARK2 OS=Mus musculus OX=10090 GN=Mark2;sp|Q05512-4|MARK2_MOUSE Isoform 4 of Serine
257770	334480	385510	347880	361910	442270	518210	346960	430000	347050	310360	374030	385770	364060	391740	334300	398070	323130	-1	45	45	45	16.5	16.5	16.5	398.29	0	172.86	58	Q05793	Q05793	Basement membrane-specific heparan sulfate proteoglycan core protein;Endorepellin;LG3 peptide	Hspg2	2290	sp|Q05793|PGBM_MOUSE Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus OX=10090 GN=Hspg2 PE=1 SV=1
632440	832040	1014300	828200	978820	985420	1432400	940640	943160	837170	786520	878390	958610	961680	920510	864220	1085400	618500	-1	12	12	11	79.3	79.3	72.6	15.137	0	83.445	74	Q05816	Q05816	Fatty acid-binding protein, epidermal	Fabp5	2291	sp|Q05816|FABP5_MOUSE Fatty acid-binding protein 5 OS=Mus musculus OX=10090 GN=Fabp5 PE=1 SV=3
10491	17474	18797	16896	10197	13599	22159	19585	20480	19313	18684	19302	18810	19491	17315	20623	20444	14000	-1	3	3	3	3.4	3.4	3.4	159.39	0	18.4	1	Q05860-2;Q05860;Q05860-4;Q05860-3;Q05860-6	Q05860-2;Q05860;Q05860-4;Q05860-3	Formin-1	Fmn1	2292	sp|Q05860-2|FMN1_MOUSE Isoform 2 of Formin-1 OS=Mus musculus OX=10090 GN=Fmn1;sp|Q05860|FMN1_MOUSE Formin-1 OS=Mus musculus OX=10090 GN=Fmn1 PE=1 SV=2;sp|Q05860-4|FMN1_MOUSE Isoform 4 of Formin-1 OS=Mus musculus OX=10090 GN=Fmn1;sp|Q05860-3|FMN1_MOUSE Isof
264480	308920	456180	379560	383370	401180	426930	356360	428830	360590	368510	361520	405620	407470	430330	371430	395820	296920	-1	8	8	8	7.7	7.7	7.7	161.24	0	67.709	13	Q05909	Q05909	Receptor-type tyrosine-protein phosphatase gamma	Ptprg	2293	sp|Q05909|PTPRG_MOUSE Receptor-type tyrosine-protein phosphatase gamma OS=Mus musculus OX=10090 GN=Ptprg PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	2	2	2	10.8	10.8	10.8	27.014	0	11.97	0	Q05915	Q05915	GTP cyclohydrolase 1	Gch1	2294	sp|Q05915|GCH1_MOUSE GTP cyclohydrolase 1 OS=Mus musculus OX=10090 GN=Gch1 PE=1 SV=1
1076100	1288400	1565400	1292100	1463100	1483500	1769200	1398900	1555000	1382600	1297000	1375000	1467000	1518500	1593600	1388700	1523500	1189600	-1	45	45	45	45.2	45.2	45.2	129.68	0	323.31	101	Q05920	Q05920	Pyruvate carboxylase, mitochondrial	Pc	2295	sp|Q05920|PYC_MOUSE Pyruvate carboxylase, mitochondrial OS=Mus musculus OX=10090 GN=Pc PE=1 SV=1
140670	181630	264320	201270	204550	233330	183190	189760	237490	201690	216340	188160	214450	205120	226110	223620	229890	149540	-1	7	7	6	38.4	38.4	34.2	21.465	0	64.127	9	Q05A62;Q05A62-2;Q05A62-3	Q05A62;Q05A62-2;Q05A62-3	Dynein light chain 1, axonemal	Dnal1	2296	sp|Q05A62|DNAL1_MOUSE Dynein light chain 1, axonemal OS=Mus musculus OX=10090 GN=Dnal1 PE=1 SV=2;sp|Q05A62-2|DNAL1_MOUSE Isoform 2 of Dynein light chain 1, axonemal OS=Mus musculus OX=10090 GN=Dnal1;sp|Q05A62-3|DNAL1_MOUSE Isoform 3 of Dynein light chain 1
